Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
1,Tom Burke,USA,12 (1),Gold,100 metres,M,1896,,,,
2,Fritz Hofmann,GER,at 2 metres (2),Silver,100 metres,M,1896,,,,
=3,Alajos Szokoly,HUN,at 4 metres (=3),Bronze,100 metres,M,1896,,,,
=3,Frank Lane,USA,at 4 metres (=3),Bronze,100 metres,M,1896,,,,
1,Tom Burke,USA,54.2 (1),Gold,400 metres,M,1896,,,,
2,Herbert Jamison,USA,55.2 (2),Silver,400 metres,M,1896,,,,
3,Charles Gmelin,GBR,at 15-20 metres (3),Bronze,400 metres,M,1896,,,,
1,Teddy Flack,AUS,2:11 (1),Gold,800 metres,M,1896,,,,
2,NÃ¡ndor DÃ¡ni,HUN,2:11.8 (2),Silver,800 metres,M,1896,,,,
3,Dimitrios Golemis,GRE,at 20-100 metres (3),Bronze,800 metres,M,1896,,,,
1,Teddy Flack,AUS,,Gold,"1,500 metres",M,1896,4:33.2,,,
2,Arthur C. Blake,USA,,Silver,"1,500 metres",M,1896,at 2-10 metres,,,
3,Albin Lermusiaux,FRA,,Bronze,"1,500 metres",M,1896,at 6-15 metres,,,
1,Spyros Louis,GRE,,Gold,Marathon,M,1896,2-58:50,,,
2,Kharilaos Vasilakos,GRE,,Silver,Marathon,M,1896,3-06:03,,,
3,Gyula Kellner,HUN,,Bronze,Marathon,M,1896,3-06:35,,,
1,Tom Curtis,USA,17.6 (1),Gold,110 metres Hurdles,M,1896,,,,
2,Grantley Goulding,GBR,at 0.05 metres (2),Silver,110 metres Hurdles,M,1896,,,,
1,Ellery Clark,USA,,Gold,High Jump,M,1896,,1.81,,
=2,Bob Garrett,USA,,Silver,High Jump,M,1896,,1.65,,
=2,James B. Connolly,USA,,Silver,High Jump,M,1896,,1.65,,
1,Bill Hoyt,USA,,Gold,Pole Vault,M,1896,,3.30,,
2,Albert Tyler,USA,,Silver,Pole Vault,M,1896,,3.20,,
=3,Evangelos Damaskos,GRE,,Bronze,Pole Vault,M,1896,,2.60,,
=3,Ioannis Theodoropoulos,GRE,,Bronze,Pole Vault,M,1896,,2.60,,
1,Ellery Clark,USA,,Gold,Long Jump,M,1896,,,6.35,
2,Bob Garrett,USA,,Silver,Long Jump,M,1896,,,6.00,
3,James B. Connolly,USA,,Bronze,Long Jump,M,1896,,,5.84,
1,James B. Connolly,USA,,Gold,Triple Jump,M,1896,,,13.71,
2,Alexandre TuffÃ¨ri,FRA,,Silver,Triple Jump,M,1896,,,12.70,
3,Ioannis Persakis,GRE,,Bronze,Triple Jump,M,1896,,,12.52,
1,Bob Garrett,USA,,Gold,Shot Put,M,1896,,,11.22,
2,Miltiadis Gouskos,GRE,,Silver,Shot Put,M,1896,,,11.03,
3,Georgios Papasideris,GRE,,Bronze,Shot Put,M,1896,,,10.36,
1,Bob Garrett,USA,,Gold,Discus Throw,M,1896,,,29.150,
2,Panagiotis Paraskevopoulos,GRE,,Silver,Discus Throw,M,1896,,,28.955,
3,Sotirios Versis,GRE,,Bronze,Discus Throw,M,1896,,,27.780,
1,Al Kraenzlein,USA,7.0 (1),Gold,60 metres,M,1900,,,,
2,Walter Tewksbury,USA,close behind (2),Silver,60 metres,M,1900,,,,
3,Stan Rowley,AUS,at 1 foot (3),Bronze,60 metres,M,1900,,,,
1,Frank Jarvis,USA,11.0 (1),Gold,100 metres,M,1900,,,,
2,Walter Tewksbury,USA,at 2 feet (2),Silver,100 metres,M,1900,,,,
3,Stan Rowley,AUS,at Â½ yard (3),Bronze,100 metres,M,1900,,,,
1,Walter Tewksbury,USA,22.2 (1),Gold,200 metres,M,1900,,,,
2,Norman Pritchard,IND,at 2Â½ yards (2),Silver,200 metres,M,1900,,,,
3,Stan Rowley,AUS,at Â½ yard (3),Bronze,200 metres,M,1900,,,,
1,Maxey Long,USA,49.4 (1),Gold,400 metres,M,1900,,,,
2,Bill Holland,USA,at 5 yards (2),Silver,400 metres,M,1900,,,,
3,Ernst Schultz,DEN,at 25 yards (3),Bronze,400 metres,M,1900,,,,
1,Alfred Tysoe,GBR,2:01.2 (1),Gold,800 metres,M,1900,,,,
2,John Cregan,USA,at 3 yards (2),Silver,800 metres,M,1900,,,,
3,Dave Hall,USA,at 8 yards (3),Bronze,800 metres,M,1900,,,,
1,Charles Bennett,GBR,,Gold,"1,500 metres",M,1900,4:06.2,,,
2,Henry Deloge,FRA,,Silver,"1,500 metres",M,1900,at 5 yards,,,
3,John Bray,USA,,Bronze,"1,500 metres",M,1900,at 20 yards,,,
1,Michel ThÃ©ato,FRA,,Gold,Marathon,M,1900,2-59:45.0,,,
2,Ãmile Champion,FRA,,Silver,Marathon,M,1900,3-04:17.0,,,
3,Ernst Fast,SWE,,Bronze,Marathon,M,1900,3-37:14.0,,,
1,Al Kraenzlein,USA,15.4 (1),Gold,110 metres Hurdles,M,1900,,,,
2,John McLean,USA,at 3 yards (2),Silver,110 metres Hurdles,M,1900,,,,
3,Fred Moloney,USA,at 1 foot (3),Bronze,110 metres Hurdles,M,1900,,,,
1,Al Kraenzlein,USA,25.4 (1),Gold,200 metres Hurdles,M,1900,,,,
2,Norman Pritchard,IND,at 5 yards (2),Silver,200 metres Hurdles,M,1900,,,,
3,Walter Tewksbury,USA,at 1 yard (3),Bronze,200 metres Hurdles,M,1900,,,,
1,Walter Tewksbury,USA,57.6 (1),Gold,400 metres Hurdles,M,1900,,,,
2,Henri Tauzin,FRA,at 5 yards (2),Silver,400 metres Hurdles,M,1900,,,,
3,George Orton,USA,at 4 yards (3),Bronze,400 metres Hurdles,M,1900,,,,
1,George Orton,USA,,Gold,"2,500 metres Steeplechase",M,1900,7:34.4,,,
2,Sidney Robinson,GBR,,Silver,"2,500 metres Steeplechase",M,1900,at 10 yards,,,
3,Jean ChastaniÃ©,FRA,,Bronze,"2,500 metres Steeplechase",M,1900,at 50 yards,,,
1,Jack Rimmer,GBR,,Gold,"4,000 metres Steeplechase",M,1900,12:58.4,,,
2,Charles Bennett,GBR,,Silver,"4,000 metres Steeplechase",M,1900,at 1Â½ yards,,,
3,Sidney Robinson,GBR,,Bronze,"4,000 metres Steeplechase",M,1900,at Â½ yard,,,
1.0,,GBR,,Gold,"5,000 metres",F,1900,â,,,
2.0,,FRA,,Silver,"5,000 metres",F,1900,â,,,
1,Irv Baxter,USA,,Gold,High Jump,M,1900,,1.90,,
2,Pat Leahy,GBR,,Silver,High Jump,M,1900,,1.78,,
3,Lajos GÃ¶nczy,HUN,,Bronze,High Jump,M,1900,,1.75,,
1,Irv Baxter,USA,,Gold,Pole Vault,M,1900,,3.30,,
2,Meredith Colket,USA,,Silver,Pole Vault,M,1900,,3.25,,
3,Carl Albert Andersen,NOR,,Bronze,Pole Vault,M,1900,,3.20,,
1,Al Kraenzlein,USA,7.185 (1),Gold,Long Jump,M,1900,,,7.185,
2,Meyer Prinstein,USA,â,Silver,Long Jump,M,1900,,,7.175,
3,Pat Leahy,GBR,6.950 (2),Bronze,Long Jump,M,1900,,,6.950,
1,Meyer Prinstein,USA,,Gold,Triple Jump,M,1900,,,14.47,
2,James B. Connolly,USA,,Silver,Triple Jump,M,1900,,,13.97,
3,Lewis Sheldon,USA,,Bronze,Triple Jump,M,1900,,,13.64,
1,Dick Sheldon,USA,14.10 (1),Gold,Shot Put,M,1900,,,,
2,Josiah McCracken,USA,â,Silver,Shot Put,M,1900,,,,
3,Bob Garrett,USA,â,Bronze,Shot Put,M,1900,,,,
