,Event,Year,Gender,Position,Medal,Athlete,NOC,Time,Distance
0,100 metres,1896,M,1,Gold,Tom Burke,USA,12.0,NaN
1,100 metres,1896,M,2,Silver,Fritz Hofmann,GER,NaN,NaN
2,100 metres,1896,M,3,Bronze,Alajos Szokoly,HUN,NaN,NaN
3,100 metres,1896,M,3,Bronze,Frank Lane,USA,NaN,NaN
4,400 metres,1896,M,1,Gold,Tom Burke,USA,54.2,NaN
5,400 metres,1896,M,2,Silver,Herbert Jamison,USA,55.2,NaN
6,400 metres,1896,M,3,Bronze,Charles Gmelin,GBR,NaN,NaN
7,800 metres,1896,M,1,Gold,Teddy Flack,AUS,131.0,NaN
8,800 metres,1896,M,2,Silver,NÃ¡ndor DÃ¡ni,HUN,131.8,NaN
9,800 metres,1896,M,3,Bronze,Dimitrios Golemis,GRE,NaN,NaN
10,"1,500 metres",1896,M,1,Gold,Teddy Flack,AUS,273.2,NaN
11,"1,500 metres",1896,M,2,Silver,Arthur C. Blake,USA,NaN,NaN
12,"1,500 metres",1896,M,3,Bronze,Albin Lermusiaux,FRA,NaN,NaN
13,Marathon,1896,M,1,Gold,Spyros Louis,GRE,10730.0,NaN
14,Marathon,1896,M,2,Silver,Kharilaos Vasilakos,GRE,11163.0,NaN
15,Marathon,1896,M,3,Bronze,Gyula Kellner,HUN,11195.0,NaN
16,Long Jump,1896,M,1,Gold,Ellery Clark,USA,NaN,6.35
17,Long Jump,1896,M,2,Silver,Bob Garrett,USA,NaN,6.00
18,Long Jump,1896,M,3,Bronze,James B. Connolly,USA,NaN,5.84
19,Triple Jump,1896,M,1,Gold,James B. Connolly,USA,NaN,13.71
20,Triple Jump,1896,M,2,Silver,Alexandre TuffÃ¨ri,FRA,NaN,12.70
21,Triple Jump,1896,M,3,Bronze,Ioannis Persakis,GRE,NaN,12.52
22,Shot Put,1896,M,1,Gold,Bob Garrett,USA,NaN,11.22
23,Shot Put,1896,M,2,Silver,Miltiadis Gouskos,GRE,NaN,11.03
24,Shot Put,1896,M,3,Bronze,Georgios Papasideris,GRE,NaN,10.36
25,Discus Throw,1896,M,1,Gold,Bob Garrett,USA,NaN,29.150
26,Discus Throw,1896,M,2,Silver,Panagiotis Paraskevopoulos,GRE,NaN,28.955
27,Discus Throw,1896,M,3,Bronze,Sotirios Versis,GRE,NaN,27.780
28,100 metres,1900,M,1,Gold,Frank Jarvis,USA,11.0,NaN
29,100 metres,1900,M,2,Silver,Walter Tewksbury,USA,NaN,NaN
30,100 metres,1900,M,3,Bronze,Stan Rowley,AUS,NaN,NaN
31,200 metres,1900,M,1,Gold,Walter Tewksbury,USA,22.2,NaN
32,200 metres,1900,M,2,Silver,Norman Pritchard,IND,NaN,NaN
33,200 metres,1900,M,3,Bronze,Stan Rowley,AUS,NaN,NaN
34,400 metres,1900,M,1,Gold,Maxey Long,USA,49.4,NaN
35,400 metres,1900,M,2,Silver,Bill Holland,USA,NaN,NaN
36,400 metres,1900,M,3,Bronze,Ernst Schultz,DEN,NaN,NaN
37,800 metres,1900,M,1,Gold,Alfred Tysoe,GBR,121.2,NaN
38,800 metres,1900,M,2,Silver,John Cregan,USA,NaN,NaN
39,800 metres,1900,M,3,Bronze,Dave Hall,USA,NaN,NaN
40,"1,500 metres",1900,M,1,Gold,Charles Bennett,GBR,246.2,NaN
41,"1,500 metres",1900,M,2,Silver,Henry Deloge,FRA,NaN,NaN
